2021-03-05T16:00:56.325Z - UI.Vision RPA started
2021-03-05T16:00:58.514Z - [status] Playing macro Test/xodo
2021-03-05T16:00:58.600Z - [info] Executing:  | open | https://ui.vision/demo/webtest/frames/ |  | 
2021-03-05T16:01:01.434Z - [info] Executing:  | echo | Reduce replay speed so we can better see what is going on... |  | 
2021-03-05T16:01:01.444Z - [echo] Reduce replay speed so we can better see what is going on...
2021-03-05T16:01:01.481Z - [info] Executing:  | store | medium | !replayspeed | 
2021-03-05T16:01:01.808Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T16:01:02.177Z - [info] Executing:  | click | name=mytext1 |  | 
2021-03-05T16:01:02.576Z - [info] Executing:  | type | name=mytext1 | Frame1 (index=0) | 
2021-03-05T16:01:02.980Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:03.369Z - [info] Executing:  | selectFrame | index=1 |  | 
2021-03-05T16:01:03.739Z - [info] Executing:  | click | name=mytext2 |  | 
2021-03-05T16:01:04.115Z - [info] Executing:  | type | name=mytext2 | Frame2 (index=1) | 
2021-03-05T16:01:04.484Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:04.840Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:01:05.211Z - [info] Executing:  | click | name=mytext3 |  | 
2021-03-05T16:01:05.576Z - [info] Executing:  | type | name=mytext3 | Frame3 (index=2) | 
2021-03-05T16:01:05.930Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:06.300Z - [info] Executing:  | selectFrame | index=3 |  | 
2021-03-05T16:01:06.654Z - [info] Executing:  | click | name=mytext4 |  | 
2021-03-05T16:01:07.015Z - [info] Executing:  | type | name=mytext4 | Frame4 (index=3) | 
2021-03-05T16:01:07.380Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:07.778Z - [info] Executing:  | selectFrame | index=4 |  | 
2021-03-05T16:01:08.142Z - [info] Executing:  | click | name=mytext5 |  | 
2021-03-05T16:01:08.507Z - [info] Executing:  | type | name=mytext5 | Frame5 (index=4) | 
2021-03-05T16:01:08.868Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:09.225Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:01:09.582Z - [info] Executing:  | type | name=mytext3 | now testing iframe inside this frame | 
2021-03-05T16:01:09.943Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T16:01:10.305Z - [info] Executing:  | click | //span[contains(text(),"UI.Vision IDE")] |  | 
2021-03-05T16:01:10.709Z - [info] Executing:  | click | css=input.quantumWizTextinputSimpleinputInput.exportInput |  | 
2021-03-05T16:01:11.171Z - [info] Executing:  | type | css=input.quantumWizTextinputSimpleinputInput.exportInput | iframe in frame: works! | 
2021-03-05T16:01:11.612Z - [info] Executing:  | clickAndWait | xpath=//div[3]/div/div/div/span |  | 
2021-03-05T16:01:14.015Z - [info] Executing:  | type | name=entry.1572386418 | Form Filling Test Done! | 
2021-03-05T16:01:14.382Z - [info] Executing:  | click | xpath=//*[@id="mG61Hd"]/div/div/div[3]/div[1]/div[1]/div[2]/span/span |  | 
2021-03-05T16:01:14.766Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:01:15.138Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:01:15.501Z - [info] Executing:  | type | name=mytext3 | Test completed! | 
2021-03-05T16:01:15.905Z - [info] Macro completed (Runtime 17.33s)
2021-03-05T16:01:16.730Z - UI.Vision RPA closing
