2021-03-05T15:54:11.074Z - UI.Vision RPA started
2021-03-05T15:54:12.913Z - [status] Playing macro Test/xodo
2021-03-05T15:54:12.980Z - [info] Executing:  | open | https://ui.vision/demo/webtest/frames/ |  | 
2021-03-05T15:54:15.124Z - [info] Executing:  | echo | Reduce replay speed so we can better see what is going on... |  | 
2021-03-05T15:54:15.135Z - [echo] Reduce replay speed so we can better see what is going on...
2021-03-05T15:54:15.160Z - [info] Executing:  | store | medium | !replayspeed | 
2021-03-05T15:54:15.499Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T15:54:15.883Z - [info] Executing:  | click | name=mytext1 |  | 
2021-03-05T15:54:16.235Z - [info] Executing:  | type | name=mytext1 | Frame1 (index=0) | 
2021-03-05T15:54:16.602Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:16.948Z - [info] Executing:  | selectFrame | index=1 |  | 
2021-03-05T15:54:17.308Z - [info] Executing:  | click | name=mytext2 |  | 
2021-03-05T15:54:17.661Z - [info] Executing:  | type | name=mytext2 | Frame2 (index=1) | 
2021-03-05T15:54:18.009Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:18.366Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:54:18.715Z - [info] Executing:  | click | name=mytext3 |  | 
2021-03-05T15:54:19.084Z - [info] Executing:  | type | name=mytext3 | Frame3 (index=2) | 
2021-03-05T15:54:19.447Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:19.796Z - [info] Executing:  | selectFrame | index=3 |  | 
2021-03-05T15:54:20.146Z - [info] Executing:  | click | name=mytext4 |  | 
2021-03-05T15:54:20.499Z - [info] Executing:  | type | name=mytext4 | Frame4 (index=3) | 
2021-03-05T15:54:20.854Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:21.215Z - [info] Executing:  | selectFrame | index=4 |  | 
2021-03-05T15:54:21.594Z - [info] Executing:  | click | name=mytext5 |  | 
2021-03-05T15:54:21.937Z - [info] Executing:  | type | name=mytext5 | Frame5 (index=4) | 
2021-03-05T15:54:22.281Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:22.632Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:54:22.974Z - [info] Executing:  | type | name=mytext3 | now testing iframe inside this frame | 
2021-03-05T15:54:23.330Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T15:54:23.672Z - [info] Executing:  | click | //span[contains(text(),"UI.Vision IDE")] |  | 
2021-03-05T15:54:24.050Z - [info] Executing:  | click | css=input.quantumWizTextinputSimpleinputInput.exportInput |  | 
2021-03-05T15:54:24.399Z - [info] Executing:  | type | css=input.quantumWizTextinputSimpleinputInput.exportInput | iframe in frame: works! | 
2021-03-05T15:54:24.812Z - [info] Executing:  | clickAndWait | xpath=//div[3]/div/div/div/span |  | 
2021-03-05T15:54:27.194Z - [info] Executing:  | type | name=entry.1572386418 | Form Filling Test Done! | 
2021-03-05T15:54:34.633Z - [info] Executing:  | click | xpath=//*[@id="mG61Hd"]/div/div/div[3]/div[1]/div[1]/div[2]/span/span |  | 
2021-03-05T15:54:34.991Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:35.340Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:54:35.688Z - [info] Executing:  | type | name=mytext3 | Test completed! | 
2021-03-05T15:54:36.084Z - [info] Macro completed (Runtime 23.12s)
2021-03-05T15:54:36.917Z - UI.Vision RPA closing
