2021-03-05T16:06:48.827Z - UI.Vision RPA started
2021-03-05T16:06:51.071Z - [status] Playing macro Test/xodo
2021-03-05T16:06:51.180Z - [info] Executing:  | open | https://ui.vision/demo/webtest/frames/ |  | 
2021-03-05T16:06:54.697Z - [info] Executing:  | echo | Reduce replay speed so we can better see what is going on... |  | 
2021-03-05T16:06:54.707Z - [echo] Reduce replay speed so we can better see what is going on...
2021-03-05T16:06:54.746Z - [info] Executing:  | store | medium | !replayspeed | 
2021-03-05T16:06:55.071Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T16:06:55.442Z - [info] Executing:  | click | name=mytext1 |  | 
2021-03-05T16:06:55.813Z - [info] Executing:  | type | name=mytext1 | Frame1 (index=0) | 
2021-03-05T16:06:56.196Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:06:56.586Z - [info] Executing:  | selectFrame | index=1 |  | 
2021-03-05T16:06:56.976Z - [info] Executing:  | click | name=mytext2 |  | 
2021-03-05T16:06:57.362Z - [info] Executing:  | type | name=mytext2 | Frame2 (index=1) | 
2021-03-05T16:06:57.755Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:06:58.148Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:06:58.551Z - [info] Executing:  | click | name=mytext3 |  | 
2021-03-05T16:06:58.931Z - [info] Executing:  | type | name=mytext3 | Frame3 (index=2) | 
2021-03-05T16:06:59.304Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:06:59.664Z - [info] Executing:  | selectFrame | index=3 |  | 
2021-03-05T16:07:00.022Z - [info] Executing:  | click | name=mytext4 |  | 
2021-03-05T16:07:00.395Z - [info] Executing:  | type | name=mytext4 | Frame4 (index=3) | 
2021-03-05T16:07:00.783Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:07:01.152Z - [info] Executing:  | selectFrame | index=4 |  | 
2021-03-05T16:07:01.528Z - [info] Executing:  | click | name=mytext5 |  | 
2021-03-05T16:07:01.889Z - [info] Executing:  | type | name=mytext5 | Frame5 (index=4) | 
2021-03-05T16:07:02.252Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:07:02.603Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:07:02.963Z - [info] Executing:  | type | name=mytext3 | now testing iframe inside this frame | 
2021-03-05T16:07:03.337Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T16:07:03.701Z - [info] Executing:  | click | //span[contains(text(),"UI.Vision IDE")] |  | 
2021-03-05T16:07:04.080Z - [info] Executing:  | click | css=input.quantumWizTextinputSimpleinputInput.exportInput |  | 
2021-03-05T16:07:04.789Z - [info] Executing:  | type | css=input.quantumWizTextinputSimpleinputInput.exportInput | iframe in frame: works! | 
2021-03-05T16:07:05.225Z - [info] Executing:  | clickAndWait | xpath=//div[3]/div/div/div/span |  | 
2021-03-05T16:07:07.659Z - [info] Executing:  | type | name=entry.1572386418 | Form Filling Test Done! | 
2021-03-05T16:07:09.064Z - [info] Executing:  | click | xpath=//*[@id="mG61Hd"]/div/div/div[3]/div[1]/div[1]/div[2]/span/span |  | 
2021-03-05T16:07:09.448Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T16:07:09.818Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T16:07:10.202Z - [info] Executing:  | type | name=mytext3 | Test completed! | 
2021-03-05T16:07:10.622Z - [info] Macro completed (Runtime 19.47s)
2021-03-05T16:07:11.543Z - UI.Vision RPA closing
